ID Curso,BLOQUE,CATÁLOGO,Descripción,Materia,SEM,CRÉ,Horas SEM,Carrera,OPTATIVA,ACADEMIA,LAB,FICT,Jefe de Academia,Horas totales
020843,BA,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,ARQA,,HUM,A,,#REF!,96
020843,BA,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,ARQB,,HUM,A,,#REF!,96
28916,BA,ESC102,TOPOGRAFÍA A,ESTC_ING,1,7,5,ARQA,,CONS,A,O,#REF!,112
028916,BA,ESC102,TOPOGRAFÍA B,ESTC_ING,1,7,5,ARQB,,CONS,A,O,#REF!,112
028916,BA,ESC102,LAB. TOPOGRAFÍA A,ESTC_ING,1,7,5,ARQA,,CONS,A,O,#REF!,112
028916,BA,ESC102,LAB. TOPOGRAFÍA B,ESTC_ING,1,7,5,ARQB,,CONS,A,O,#REF!,112
031803,BA,PRO001,COMPOSICIÓN ARQUITECTÓNICA I,PRO_ING,1,10,6,ARQA,,ARQ,A,,#REF!,160
031803,BA,PRO001,COMPOSICIÓN ARQUITECTÓNICA I,PRO_ING,1,10,6,ARQB,,ARQ,A,,#REF!,160
031804,BA,PRO011,FUNDAMENTOS DE LA ARQUITECTURA Y DEL URBANISMO,PRO_ING,1,4,2,ARQA,,ARQ,A,,#REF!,64
031804,BA,PRO011,FUNDAMENTOS DE LA ARQUITECTURA Y DEL URBANISMO,PRO_ING,1,4,2,ARQB,,ARQ,A,,#REF!,64
031805,BA,IDI105,GEOMETRÍA DESCRIPTIVA,IDI_ING,1,5,3,ARQA,,IDI,A,,#REF!,80
031805,BA,IDI105,GEOMETRÍA DESCRIPTIVA,IDI_ING,1,5,3,ARQB,,IDI,A,,#REF!,80
031806,BA,CONS01,DIBUJO ARQUITECTÓNICO I,ESTC_ING,1,6,4,ARQA,,ARQ,A,,#REF!,96
031806,BA,CONS01,DIBUJO ARQUITECTÓNICO I,ESTC_ING,1,6,4,ARQB,,ARQ,A,,#REF!,96
031807,BA,CONS03,MATEMÁTICAS,ESTC_ING,1,4,2,ARQA,,MAT,A,,#REF!,64
031807,BA,CONS03,MATEMÁTICAS,ESTC_ING,1,4,2,ARQB,,MAT,A,,#REF!,64
020843,BA,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IIN1A,,HUM,A,,#REF!,96
