ID Curso,CATÁLOGO,Descripción,Materia,SEM,CRÉ,Horas SEM,Carrera,OPTATIVA,ACADEMIA,LAB,FICT,Jefe de Academia,Horas totales,
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,ARQA,,HUM,A,,0,96,3
28916,ESC102,TOPOGRAFÍA A,ESTC_ING,1,7,5,ARQA,,CONS,A,O,"Acosta Acosta,Darío Fernando",112,3.5
28916,ESC102,LAB. TOPOGRAFÍA A,ESTC_ING,1,7,5,ARQA,,CONS,A,O,"Acosta Acosta,Darío Fernando",112,3.5
31803,PRO001,COMPOSICIÓN ARQUITECTÓNICA I,PRO_ING,1,10,6,ARQA,,ARQ,A,,Ruben Romo Gamboa,160,5
31805,IDI105,GEOMETRÍA DESCRIPTIVA (Arq),IDI_ING,1,5,3,ARQA,,IDI,A,,"Rosa Sierra, Luis Alberto",80,2.5
31806,CONS01,DIBUJO ARQUITECTÓNICO I,ESTC_ING,1,6,4,ARQA,,ARQ,A,,Ruben Romo Gamboa,96,3
31807,CONS03,MATEMÁTICAS,ESTC_ING,1,4,2,ARQA,,MAT,A,,"Alejo Reyes, Avelina",64,2
35626,TAUTOC ,TALLER AUTOCAD,LAB_ARQ,1,0,2,ARQA,,ARQ,#N/D,#N/D,Ruben Romo Gamboa,32,1
34849,LAB,TALLER CMD,LAB_ARQ,1,0,2,ARQA,,ARQ,#N/D,#N/D,Ruben Romo Gamboa,32,
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,ARQB,,HUM,A,,0,96,3
28916,ESC102,TOPOGRAFÍA B,ESTC_ING,1,7,5,ARQB,,CONS,A,O,"Acosta Acosta,Darío Fernando",112,3.5
28916,ESC102,LAB. TOPOGRAFÍA B,ESTC_ING,1,7,5,ARQB,,CONS,A,O,"Acosta Acosta,Darío Fernando",112,3.5
31803,PRO001,COMPOSICIÓN ARQUITECTÓNICA I,PRO_ING,1,10,6,ARQB,,ARQ,A,,Ruben Romo Gamboa,160,5
31805,IDI105,GEOMETRÍA DESCRIPTIVA (Arq),IDI_ING,1,5,3,ARQB,,IDI,A,,"Rosa Sierra, Luis Alberto",80,2.5
31806,CONS01,DIBUJO ARQUITECTÓNICO I,ESTC_ING,1,6,4,ARQB,,ARQ,A,,Ruben Romo Gamboa,96,3
31807,CONS03,MATEMÁTICAS,ESTC_ING,1,4,2,ARQB,,MAT,A,,"Alejo Reyes, Avelina",64,2
35626,TAUTOC ,TALLER AUTOCAD,LAB_ARQ,1,0,2,ARQB,,ARQ,#N/D,#N/D,Ruben Romo Gamboa,32,1
34849,LAB,TALLER CMD,LAB_ARQ,1,0,2,ARQB,,ARQ,#N/D,#N/D,Ruben Romo Gamboa,32,
19123,IDI004,GEOMETRÍA DESCRIPTIVA,IDI_ING,1,6,3,IAV,,IDI,A,,"Rosa Sierra, Luis Alberto",96,3
20843,HUM001,HISTORIA DE LA CULTURA,HUMINS,1,6,3,IAV,,HUM,A,,0,96,3
23771,MAT009,ÁLGEBRA AMPLIADA,MATE_ING,1,8,4,IAV,,MAT,A,,"Alejo Reyes, Avelina",128,4
23772,COM019,ANÁLISIS Y DISEÑO DE ALGORITMOS,COMP_ING,1,8,4,IAV,,COM,L,,"Del Valle Soto, Carolina",128,4
23773,IDI028,INTRODUCCIÓN A LA FÍSICA /FÍSICA /FUND CIENT PARA INGENIERÍA,IDI_ING,1,4,2,IAV,,ANIM,A,L,"Del Puerto Flores, José Alberto",64,2
23774,COM021,PRINCIPIOS DE FOTOGRAFÍA Y VID,COMP_ING,1,4,2,IAV,,ANIM,L,,"Del Puerto Flores, José Alberto",64,2
